iter	Passed	Remaining
406	6526	314187
407	6542	314158
408	6558	314135
409	6574	314126
410	6590	314093
411	6605	314037
412	6620	313978
413	6635	313939
414	6652	313952
415	6668	313922
416	6684	313929
417	6701	313945
418	6717	313917
419	6733	313920
420	6748	313868
421	6764	313838
422	6780	313811
423	6795	313764
424	6811	313745
425	6827	313725
426	6842	313657
427	6858	313617
428	6873	313588
429	6889	313566
430	6905	313549
431	6921	313511
432	6936	313466
433	6953	313490
434	6969	313469
435	6985	313430
436	7000	313399
437	7016	313375
438	7032	313353
439	7047	313312
440	7064	313327
441	7081	313339
442	7098	313393
443	7115	313411
444	7132	313433
445	7149	313452
446	7166	313495
447	7182	313469
448	7198	313439
449	7214	313410
450	7229	313360
451	7244	313318
452	7260	313310
453	7276	313293
454	7292	313260
455	7307	313192
456	7323	313165
457	7339	313142
458	7355	313146
459	7371	313147
460	7387	313117
461	7403	313098
462	7419	313057
463	7435	313059
464	7451	313023
465	7466	312999
466	7482	312968
467	7498	312936
468	7513	312880
469	7528	312847
470	7544	312811
471	7559	312764
472	7574	312710
473	7590	312665
474	7606	312659
475	7621	312626
476	7638	312618
477	7653	312594
478	7669	312552
479	7685	312539
480	7701	312512
481	7716	312485
482	7732	312454
483	7748	312454
484	7764	312405
485	7781	312437
486	7796	312395
487	7812	312354
488	7827	312331
489	7842	312277
490	7859	312269
491	7874	312238
492	7890	312215
493	7906	312203
494	7921	312149
495	7936	312097
496	7952	312071
497	7968	312037
498	7983	312003
499	7999	311982
500	8014	311938
501	8031	311930
502	8046	311896
503	8062	311871
504	8078	311880
505	8095	311866
506	8110	311845
507	8126	311827
508	8142	311812
509	8158	311795
510	8174	311747
511	8189	311724
512	8205	311707
513	8222	311722
514	8238	311692
515	8254	311674
516	8269	311651
517	8286	311638
518	8301	311594
519	8317	311575
520	8333	311570
521	8350	311574
522	8367	311621
523	8384	311618
524	8399	311572
525	8415	311548
526	8431	311534
527	8447	311531
528	8463	311502
529	8478	311473
530	8494	311465
531	8511	311484
532	8527	311470
533	8544	311489
534	8560	311458
535	8576	311431
536	8591	311374
537	8606	311331
538	8622	311327
539	8638	311320
540	8654	311293
541	8670	311262
542	8685	311234
543	8701	311211
544	8718	311221
545	8734	311211
546	8750	311202
547	8765	311154
548	8781	311121
549	8796	311081
550	8812	311053
551	8828	311048
552	8844	311024
553	8860	311005
554	8877	311019
555	8893	311009
556	8908	310975
557	8925	310984
558	8941	310967
559	8957	310950
560	8973	310937
561	8988	310887
562	9004	310874
563	9021	310878
564	9037	310886
565	9052	310837
566	9068	310822
567	9084	310789
568	9099	310749
569	9115	310716
570	9130	310672
571	9145	310636
572	9162	310643
573	9178	310634
574	9194	310613
575	9210	310596
576	9226	310566
577	9241	310518
578	9257	310502
579	9273	310514
580	9289	310500
581	9305	310473
582	9321	310462
583	9338	310486
584	9355	310476
585	9371	310486
586	9389	310509
587	9404	310480
588	9420	310448
589	9435	310427
590	9457	310584
591	9473	310566
592	9489	310551
593	9504	310527
594	9521	310515
595	9537	310506
596	9552	310474
597	9569	310466
598	9584	310437
599	9600	310424
600	9616	310392
601	9632	310381
602	9648	310380
603	9664	310353
604	9680	310338
605	9696	310309
606	9712	310302
607	9727	310251
608	9745	310295
609	9761	310277
610	9776	310249
611	9792	310212
612	9808	310208
613	9824	310192
614	9840	310162
615	9855	310126
616	9871	310114
617	9886	310064
618	9902	310033
619	9918	310023
620	9934	310008
621	9950	309990
622	9966	309981
623	9982	309984
624	9999	309983
625	10016	309987
626	10032	309969
627	10047	309943
628	10063	309919
629	10079	309894
630	10094	309867
631	10110	309837
632	10126	309811
633	10141	309774
634	10157	309750
635	10173	309734
636	10188	309715
637	10204	309675
638	10219	309653
639	10235	309637
640	10251	309616
641	10268	309632
642	10285	309628
643	10301	309625
644	10317	309603
645	10334	309608
646	10349	309571
647	10365	309556
648	10381	309550
649	10397	309516
650	10412	309477
651	10428	309455
652	10444	309456
653	10460	309425
654	10475	309400
655	10492	309395
656	10508	309393
657	10525	309397
658	10540	309366
659	10556	309328
660	10572	309311
661	10588	309305
662	10604	309293
663	10620	309277
664	10636	309246
665	10652	309230
666	10667	309196
667	10682	309154
668	10698	309132
669	10713	309104
670	10730	309095
671	10746	309080
672	10762	309061
673	10779	309079
674	10795	309078
675	10811	309061
676	10826	309018
677	10842	309008
678	10859	308996
679	10874	308964
680	10890	308950
681	10906	308931
682	10922	308914
683	10937	308879
684	10953	308866
685	10968	308823
686	10984	308790
687	11000	308774
688	11015	308746
689	11030	308705
690	11047	308698
691	11063	308687
692	11079	308669
693	11094	308640
694	11111	308633
695	11127	308618
696	11143	308607
697	11159	308593
698	11175	308569
699	11190	308525
700	11205	308490
701	11221	308473
702	11237	308451
703	11253	308434
704	11268	308402
705	11283	308372
706	11298	308332
707	11315	308332
708	11331	308320
709	11348	308324
710	11364	308323
711	11381	308322
712	11397	308299
713	11412	308278
714	11430	308309
715	11445	308273
716	11462	308261
717	11477	308218
718	11493	308216
719	11508	308180
720	11525	308192
721	11541	308178
722	11557	308154
723	11573	308126
724	11588	308103
725	11603	308063
726	11619	308033
727	11634	308004
728	11651	307997
729	11666	307958
730	11681	307920
731	11696	307892
732	11712	307872
733	11728	307840
734	11743	307815
735	11759	307798
736	11775	307769
737	11790	307746
738	11806	307719
739	11822	307707
740	11839	307718
741	11855	307696
742	11872	307699
743	11887	307675
744	11903	307643
745	11918	307619
746	11934	307595
747	11949	307562
748	11964	307527
749	11980	307491
750	11996	307474
751	12012	307460
752	12026	307412
753	12042	307377
754	12058	307363
755	12074	307359
756	12091	307359
757	12107	307357
758	12123	307326
759	12139	307319
760	12155	307293
761	12171	307299
762	12187	307264
763	12202	307223
764	12218	307212
765	12233	307180
766	12250	307176
767	12266	307169
768	12282	307146
769	12298	307135
770	12316	307166
771	12331	307138
772	12347	307122
773	12363	307115
774	12379	307093
775	12395	307078
776	12411	307061
777	12427	307040
778	12442	307016
779	12458	306995
780	12474	306976
781	12490	306950
782	12505	306930
783	12521	306911
784	12537	306886
785	12553	306870
786	12569	306847
787	12584	306815
788	12600	306806
789	12617	306804
790	12634	306823
791	12650	306805
792	12667	306818
793	12682	306783
794	12698	306764
795	12714	306752
796	12729	306713
797	12744	306674
798	12759	306637
799	12776	306633
800	12792	306624
801	12808	306595
802	12823	306568
803	12839	306552
804	12855	306535
805	12871	306521
806	12888	306517
807	12903	306501
808	12920	306502
809	12936	306473
810	12951	306445
811	12969	306464
812	12984	306448
813	13001	306435
814	13017	306433
815	13034	306431
816	13052	306467
817	13070	306495
818	13086	306491
819	13102	306478
820	13119	306477
821	13136	306484
822	13152	306471
823	13168	306452
824	13185	306452
825	13201	306449
826	13217	306426
827	13233	306413
828	13249	306403
829	13265	306375
830	13280	306349
831	13296	306340
832	13313	306341
833	13331	306363
834	13348	306379
835	13364	306364
836	13380	306343
837	13396	306321
838	13412	306307
839	13427	306284
840	13444	306274
841	13459	306251
842	13476	306241
843	13493	306250
844	13510	306261
845	13526	306250
846	13544	306283
847	13560	306266
848	13575	306234
849	13591	306199
850	13606	306179
851	13622	306158
852	13637	306125
853	13653	306104
854	13668	306064
855	13684	306052
856	13700	306028
857	13715	306003
858	13731	305971
859	13746	305934
860	13762	305927
861	13777	305885
862	13793	305865
863	13808	305829
864	13823	305796
865	13839	305786
866	13855	305756
867	13870	305721
868	13885	305687
869	13901	305675
870	13917	305652
871	13932	305627
872	13948	305607
873	13964	305598
874	13980	305579
875	13996	305563
876	14013	305568
877	14030	305566
878	14046	305548
879	14062	305529
880	14077	305502
881	14093	305485
882	14109	305465
883	14125	305459
884	14141	305436
885	14156	305412
886	14172	305387
887	14188	305361
888	14203	305327
889	14218	305303
890	14234	305274
891	14249	305256
892	14265	305226
893	14280	305203
894	14296	305184
895	14313	305182
896	14329	305171
897	14345	305152
898	14360	305120
899	14376	305090
900	14392	305078
901	14409	305082
902	14424	305062
903	14440	305037
904	14455	305008
905	14471	304994
906	14487	304963
907	14502	304940
908	14518	304927
909	14534	304914
910	14549	304877
911	14565	304852
912	14581	304830
913	14596	304799
914	14612	304778
915	14627	304744
916	14643	304735
917	14659	304719
918	14674	304693
919	14690	304666
920	14706	304653
921	14722	304629
922	14737	304611
923	14753	304589
924	14769	304573
925	14785	304557
926	14801	304536
927	14817	304532
928	14833	304509
929	14848	304476
930	14863	304436
931	14878	304397
932	14893	304373
933	14909	304357
934	14925	304334
935	14940	304310
936	14956	304294
937	14973	304292
938	14989	304285
939	15006	304282
940	15021	304249
941	15037	304221
942	15051	304184
943	15068	304175
944	15088	304253
945	15106	304268
946	15122	304257
947	15138	304234
948	15154	304222
949	15170	304199
950	15185	304169
951	15200	304142
952	15216	304131
953	15231	304095
954	15247	304070
955	15262	304044
956	15278	304030
957	15294	304004
958	15310	303989
959	15325	303954
960	15341	303942
961	15357	303924
962	15373	303902
963	15389	303892
964	15406	303897
965	15421	303864
966	15437	303849
967	15455	303865
968	15470	303843
969	15486	303818
970	15501	303786
971	15517	303768
972	15532	303743
973	15548	303721
974	15564	303703
975	15579	303672
976	15594	303647
977	15610	303627
978	15626	303610
979	15642	303593
980	15658	303571
981	15673	303539
982	15689	303529
983	15706	303526
984	15721	303497
985	15737	303478
986	15753	303459
987	15769	303452
988	15786	303448
989	15802	303437
990	15818	303421
991	15833	303393
992	15849	303376
993	15864	303349
994	15880	303334
995	15897	303324
996	15912	303304
997	15928	303283
998	15944	303267
999	15959	303234
1000	15975	303214
1001	15991	303200
1002	16007	303185
1003	16022	303155
1004	16038	303133
1005	16054	303124
1006	16070	303101
1007	16087	303105
1008	16103	303090
1009	16120	303088
1010	16135	303071
1011	16151	303041
1012	16166	303018
1013	16183	303009
1014	16199	303004
1015	16215	302990
1016	16232	302985
1017	16247	302964
1018	16263	302933
1019	16279	302931
1020	16295	302912
1021	16311	302888
1022	16326	302861
1023	16342	302840
1024	16357	302817
1025	16373	302798
1026	16389	302782
1027	16405	302766
1028	16420	302742
1029	16437	302732
1030	16453	302721
1031	16469	302698
1032	16484	302681
1033	16500	302662
1034	16516	302646
1035	16533	302653
1036	16549	302638
1037	16565	302621
1038	16582	302617
1039	16599	302613
1040	16615	302606
1041	16632	302602
1042	16648	302586
1043	16664	302573
1044	16681	302572
1045	16697	302570
1046	16713	302558
1047	16729	302542
1048	16746	302531
1049	16763	302535
1050	16779	302520
1051	16795	302506
1052	16810	302485
1053	16826	302466
1054	16843	302466
1055	16859	302449
1056	16874	302414
1057	16891	302419
1058	16907	302401
1059	16922	302378
1060	16938	302359
1061	16954	302334
1062	16970	302324
1063	16986	302313
1064	17002	302291
1065	17017	302263
1066	17033	302247
1067	17049	302223
1068	17064	302200
1069	17082	302211
1070	17098	302197
1071	17114	302180
1072	17130	302176
1073	17146	302158
1074	17162	302137
1075	17178	302117
1076	17193	302091
1077	17210	302097
1078	17227	302087
1079	17242	302062
1080	17258	302043
1081	17273	302022
1082	17289	301999
1083	17306	302006
1084	17322	301993
1085	17338	301966
1086	17354	301953
1087	17369	301928
1088	17385	301909
1089	17400	301877
1090	17417	301875
1091	17433	301859
1092	17448	301823
1093	17463	301804
1094	17479	301784
1095	17495	301767
1096	17510	301740
1097	17527	301741
1098	17545	301754
1099	17561	301741
1100	17578	301743
1101	17594	301728
1102	17611	301727
1103	17627	301715
1104	17644	301711
1105	17660	301702
1106	17675	301672
1107	17691	301647
1108	17706	301623
1109	17723	301622
1110	17740	301614
1111	17755	301588
1112	17770	301559
1113	17786	301543
1114	17802	301517
1115	17818	301503
1116	17834	301494
1117	17850	301485
1118	17866	301464
1119	17882	301444
1120	17898	301429
1121	17914	301421
1122	17931	301414
1123	17947	301396
1124	17963	301388
1125	17979	301364
1126	17994	301336
1127	18010	301328
1128	18026	301305
1129	18042	301286
1130	18057	301265
1131	18073	301242
1132	18089	301223
1133	18105	301216
1134	18121	301196
1135	18137	301182
1136	18153	301166
1137	18169	301147
1138	18184	301126
1139	18200	301109
1140	18215	301078
1141	18231	301056
1142	18247	301043
1143	18263	301029
1144	18279	301015
1145	18295	301004
1146	18312	300994
1147	18331	301026
1148	18347	301014
1149	18363	300994
1150	18379	300983
1151	18395	300969
1152	18410	300945
1153	18428	300963
1154	18444	300940
1155	18459	300911
1156	18474	300883
1157	18491	300872
1158	18507	300858
1159	18522	300831
1160	18538	300809
1161	18553	300786
1162	18569	300766
1163	18585	300752
1164	18601	300736
1165	18617	300726
1166	18633	300709
1167	18649	300694
1168	18665	300668
1169	18680	300648
1170	18696	300635
1171	18713	300624
1172	18728	300592
1173	18744	300580
1174	18760	300560
1175	18776	300549
1176	18792	300538
1177	18808	300520
1178	18824	300497
1179	18840	300482
1180	18856	300469
1181	18872	300464
1182	18888	300442
1183	18904	300426
1184	18920	300407
1185	18935	300381
1186	18952	300383
1187	18968	300367
1188	18983	300342
1189	19000	300340
1190	19016	300320
1191	19032	300308
1192	19048	300291
1193	19064	300277
1194	19080	300251
1195	19097	300250
1196	19112	300233
1197	19128	300219
1198	19145	300209
1199	19161	300202
1200	19177	300184
1201	19194	300173
1202	19210	300159
1203	19225	300141
1204	19242	300135
1205	19258	300125
1206	19275	300123
1207	19292	300113
1208	19308	300107
1209	19326	300123
1210	19342	300111
1211	19358	300094
1212	19374	300079
1213	19391	300079
1214	19407	300052
1215	19423	300042
1216	19439	300028
1217	19455	300009
1218	19471	299991
1219	19487	299978
1220	19503	299959
1221	19519	299942
1222	19535	299935
1223	19551	299920
1224	19566	299889
1225	19583	299879
1226	19599	299869
1227	19614	299847
1228	19631	299837
1229	19646	299811
1230	19662	299794
1231	19677	299768
1232	19694	299760
1233	19709	299736
1234	19726	299732
1235	19742	299717
1236	19758	299698
1237	19774	299682
1238	19789	299652
1239	19806	299647
1240	19821	299620
1241	19836	299599
1242	19852	299572
1243	19868	299561
1244	19884	299545
1245	19900	299532
1246	19916	299516
1247	19932	299503
1248	19948	299483
1249	19964	299467
1250	19980	299445
1251	19996	299432
1252	20013	299428
1253	20029	299426
1254	20045	299408
1255	20061	299392
1256	20077	299368
1257	20093	299355
1258	20108	299331
1259	20125	299322
1260	20140	299302
1261	20156	299284
1262	20172	299269
1263	20188	299245
1264	20204	299232
1265	20220	299213
1266	20235	299194
1267	20251	299178
1268	20268	299176
1269	20285	299170
1270	20303	299178
1271	20321	299193
1272	20336	299170
1273	20352	299153
1274	20368	299135
1275	20384	299117
1276	20400	299100
1277	20416	299088
1278	20432	299071
1279	20449	299073
1280	20465	299052
1281	20480	299035
1282	20496	299010
1283	20512	298992
1284	20528	298983
1285	20544	298960
1286	20559	298939
1287	20575	298920
1288	20591	298904
1289	20607	298895
1290	20623	298875
1291	20640	298870
1292	20656	298851
1293	20671	298829
1294	20687	298808
1295	20703	298795
1296	20719	298772
1297	20736	298774
1298	20752	298759
1299	20767	298737
1300	20783	298714
1301	20800	298710
1302	20816	298702
1303	20832	298690
1304	20848	298674
1305	20864	298656
1306	20882	298665
1307	20897	298641
1308	20913	298617
1309	20928	298592
1310	20944	298572
1311	20960	298562
1312	20976	298542
1313	20991	298520
1314	21008	298507
1315	21024	298490
1316	21040	298485
